Datum	Uhrzeit	Idle Latency (ms)	Download (Mbps)	Upload (Mbps)
07/10/2024	09:00:27	12,03	268,04	313,15
07/10/2024	10:00:33	5,41	281,98	312,33
07/10/2024	11:00:29	5,91	270,81	313,96
07/10/2024	12:00:26	9,53	262,17	308,24
07/10/2024	13:00:31	11,50	203,46	311,16
07/10/2024	14:00:29	11,61	283,42	313,85
07/10/2024	15:00:21	5,55	254,78	314,56
07/10/2024	16:00:20	4,93	250,35	313,68
07/10/2024	17:00:20	6,02	193,16	311,67
07/10/2024	18:00:21	10,61	226,16	305,45
08/10/2024	12:00:39	10,64	275,16	311,08
08/10/2024	13:00:38	8,48	270,53	313,93
08/10/2024	14:00:27	8,04	279,35	307,08
08/10/2024	15:00:30	5,65	253,51	309,62
08/10/2024	16:00:46	6,65	261,12	312,04
08/10/2024	17:00:40	11,21	256,10	311,70
08/10/2024	18:00:24	7,88	225,37	308,53
08/10/2024	19:00:37	5,14	234,52	300,74
08/10/2024	20:00:26	9,04	240,70	309,68
08/10/2024	21:00:33	11,02	246,51	309,40
08/10/2024	22:00:26	10,97	222,91	313,12
08/10/2024	23:00:32	8,66	238,11	246,09
09/10/2024	00:00:31	5,95	231,48	312,03
09/10/2024	13:00:33	6,00	276,37	307,15
09/10/2024	14:00:32	4,99	230,40	304,53
09/10/2024	15:00:34	8,35	216,34	248,54
09/10/2024	16:00:34	21,17	214,20	307,14
09/10/2024	17:00:24	5,98	259,14	308,15
09/10/2024	18:00:28	8,11	245,17	313,12
09/10/2024	19:00:38	26,49	256,36	311,59
09/10/2024	20:00:28	9,96	251,02	309,01
09/10/2024	21:00:31	10,98	260,43	310,61
09/10/2024	22:00:34	10,05	250,33	313,38
09/10/2024	23:00:39	8,14	238,15	310,43
10/10/2024	00:00:23	5,03	274,31	308,24
10/10/2024	01:00:25	6,64	262,91	310,08
10/10/2024	02:00:39	11,94	287,71	311,80
10/10/2024	03:00:27	9,86	279,22	313,81
10/10/2024	04:00:36	10,74	276,36	310,01
10/10/2024	05:00:31	11,05	283,15	311,39
10/10/2024	06:00:21	11,57	289,64	310,72
10/10/2024	07:00:19	7,95	284,98	314,17
10/10/2024	08:00:30	5,60	283,99	313,46
10/10/2024	09:00:43	7,92	218,51	304,96
10/10/2024	10:00:28	7,99	265,05	313,64
10/10/2024	11:00:34	8,01	286,68	311,39
10/10/2024	12:00:34	11,61	238,05	309,25
10/10/2024	13:00:35	8,27	137,07	313,97
10/10/2024	14:00:38	10,92	264,49	313,40
10/10/2024	15:00:17	8,06	270,90	313,85
10/10/2024	16:00:37	5,05	280,73	240,44
10/10/2024	17:00:53	57,53	48,25	32,41
10/10/2024	18:00:41	5,58	242,46	299,74
10/10/2024	19:00:28	8,88	290,76	312,49
10/10/2024	20:00:31	8,73	254,42	307,97
10/10/2024	21:00:29	5,28	255,44	312,47
10/10/2024	22:00:28	5,62	179,40	307,25
10/10/2024	23:00:38	9,28	228,97	313,23
11/10/2024	00:00:30	8,05	287,95	313,82
11/10/2024	01:00:31	5,99	272,38	312,24
11/10/2024	02:00:26	15,08	FAILED
11/10/2024	03:00:26	14,09	0,20	FAILED
11/10/2024	04:00:33	12,73	0,20	FAILED
11/10/2024	05:00:27	14,79	FAILED
11/10/2024	06:00:38	5,46	FAILED
11/10/2024	07:00:27	6,01	282,42	313,47
11/10/2024	08:00:33	8,91	266,45	313,60
11/10/2024	09:00:31	7,99	285,33	311,12
11/10/2024	10:00:37	5,63	293,35	276,27
11/10/2024	11:00:49	56,04	41,05	29,70
11/10/2024	12:00:28	8,33	282,77	313,41
11/10/2024	13:00:33	5,94	229,45	313,27
11/10/2024	14:00:33	11,74	249,99	314,75
11/10/2024	15:00:35	11,01	278,89	314,47
11/10/2024	16:00:29	6,16	290,78	313,25
11/10/2024	17:00:25	10,93	269,43	307,27
11/10/2024	18:00:34	11,19	257,14	310,54
11/10/2024	19:00:37	9,58	283,92	310,01
11/10/2024	20:00:34	8,58	260,83	305,14
11/10/2024	21:00:40	8,34	255,39	310,37
11/10/2024	22:00:34	9,11	246,41	308,07
